"Agropecuario" "Mineria" "Electricidad" "Industria" "Construccion" "Comercio" "Transporte" "Financiero" "Servicios" "InterFinanciera" "Impuestos"
"ANTIOQUIA" 2912974 553437 309971 5331280 711028 1745782 1454858 2704508 2387131 450630 742936
"ATLANTICO" 590412 1866 113016 2174792 127646 586582 721789 908152 832644 142865 356329
"BOLIVAR" 902357 139182 88985 997640 130512 438720 454876 534642 658857 100667 253814
"BOYACA" 1234495 342372 103600 498445 146923 370537 426508 417538 591998 87006 13724
"CALDAS" 1088659 27816 24482 520458 88166 264174 238065 345183 403987 69541 46930
"CAQUETA" 531920 108 2386 34058 15945 83845 40133 76902 147189 13016 3362
"CAUCA" 669221 9485 4085 493799 51505 177014 82934 167045 274002 16130 3600
"CESAR" 1081822 59997 6136 98603 41674 174878 87183 171810 231381 32726 4857
"CORDOBA" 1207122 267134 13634 70642 36332 204958 193571 172671 274475 26444 10637
"CUNDINAMARCA" 2001024 119721 42107 956265 147676 453453 406107 334839 521750 36767 495962
"CHOCO" 286338 71185 799 16155 11983 54498 16510 32043 140507 2485 1331
"HUILA" 741134 290568 57114 141834 80911 217192 205214 273195 342843 58225 8170
"GUAJIRA" 196785 930932 35434 11189 41800 116528 67653 92026 94662 7138 37942
"MAGADALENA" 736080 8697 12248 181611 71093 179363 176972 162333 313796 30220 18190
"META" 897074 234528 5683 213967 58256 218230 175270 236618 319362 46972 24824
"NARIÑO" 1030155 26915 4444 126610 59615 195449 203750 238967 371278 31946 9894
"NORSANTANDER" 725993 100781 39378 315026 81009 228010 260046 309185 424900 61736 19940
"QUINDIO" 482710 634 3235 370120 38629 139675 111194 160163 197842 36600 3679
"RISARALDA" 614167 5698 7298 812061 75610 236307 162040 289445 300201 62742 58260
"BOGOTA" 38057 14490 287900 6290162 853667 2530906 2657021 7123527 6387933 1575645 2068722
"SANTANDER" 1645142 265773 53139 1591843 226038 596652 583886 916760 715376 184789 62633
"SUCRE" 551584 28790 6624 55286 20891 101060 91549 103693 158894 12824 2547
"TOLIMA" 1341955 87201 15153 578096 92490 318567 239086 344727 458588 67759 19370
"VALLE" 2444297 80173 124118 3498163 480526 1293577 1405791 1829292 1960391 366843 534538
"NUEVOS" 1169778 1589989 6167 30469 191741 342888 214662 266670 429783 25866 47682
