Titular,Link,Categoría,Fecha,Noticia
Las primeras exigencias del Eln ante inicio de negociaciones de paz,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/las-primeras-exigencias-del-eln-ante-inicio-de-negociaciones-de-paz-718617,Conflicto y Narcotráfico,"18 de noviembre 2022, 07:38 A. M.","El próximo 21 de noviembre se instalará en Caracas, Venezuela, la mesa de negociación de paz entre el gobierno de Gustavo Petro y la guerrilla del Eln, y la guerrilla ya expresó algunas de sus primeras peticiones.. Puntualmente, alias Antonio García, quien fue el primer comandante del Eln, habló sobre unos puntos que para él deben discutirse.. Aunque desde antes se dijo que solo se discutiría un cese al fuego en la mesa de negociación, mediante un video García pidió que este sea bilateral. ""Si no se quiere que se ataquen instalaciones militares, pues nosotros también podemos proponer que las instlaciones nuestras no se ataquen"", sostuvo.. Del mismo modo, indicó que algunos miembros de la guerrilla tienen dudas sobre el concepto de 'paz total' del gobierno ""Algunas personas piensan que la realidad debe ser distinta y están en su derecho, pero la realidad es que el Eln existe como parte de unas contradicciones en una sociedad, entonces respetamos las opiniones y deben respetarnos las nuestras y debemos buscar soluciones"", añadió. Estos comentarios se suman a otros que hizo a través de su cuenta de Twitter, en donde en tres breves mensajes expuso que el Eln ha señalado ""temas críticos que no compartimos y los hemos interrogado"".. Esos temas son: la 'paz total', el cese el fuego multilateral, ""sigue el mismo esquema de desmovilización y todo siga lo mismo"" y que la participación de la sociedad no puede ser en ""modo exprés"". Finalmente, en sus mensajes de Twitter 'Antonio García' concluyó que ""los cambios que aporten a la justicia social y a democratizar el país, son el camino hacia la paz. Jamás al revés. Todos estos interrogantes siguen en las mentes de los elenos"". justicia@eltiempo."
Así cayeron los dos narcos colombianos más buscados por España,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/asi-cayeron-los-narcos-colombianos-mas-buscados-por-espana-717842,Conflicto y Narcotráfico,"16 de noviembre 2022, 06:49 A. M.","En Europa, en especial en España, las autoridades se encuentran en máxima alerta por el incremento de las incautaciones de cocaína y por la ubicacón de laboratorios para el procesamiento de alcaloides. Ese _modus operandi_ lo llevaron narcos colombianos que tienen claro que es más fácil, y genera menos pérdidas en caso de una incautación, transportar la base y pasta de coca y procesarla alla. Las alarmas se prendieron en 2016, tras una operación de la Policía española que ubicó un rústico laboratorio para procesar cocaína en una finca de Alcázar de San Juan, en Ciudad Real. En el lugar se incautaron 31 kilos de coca, gran cantidad de precursores químicos y se dio captura a seis personas. La investigación determinó que la red transportaba la droga hacia Madrid, en caletas ubicadas en carros particulares. Desde esa época, las autoridades españolas tuvieron en su radar a dos ciudadanos colombianos: Wilson Humberto Parra Murcia y Otoniel Villafañe Montoya, a quienes señalan como ""integrantes de una red internacional de narcotráfico"", por lo que son sindicados de tráfico de drogas y de la responsabilidad en la producción, procesamiento y comercialización de cocaína en Europa. EL TIEMPO tuvo acceso al dossier en contra de Parra y Villafañe que señala que en medio de las Investigaciones adelantadas por la Unidad Central de Droga y Crimen Organizado de la Policía Nacional de España, se ""los vinculan como integrantes de una red internacional de narcotráfico, la cual tenía su accionar delictivo en Ciudad Real y Orcoyen, donde desplegaban sus actividades ilícitas del tráfico de cocaína"". Las autoridades de España le pidieron a Interpol que emitira una circular roja por considerarlos ""delincuentes de alta peligrosidad"" y así facilitar su ubicación y captura en los 195 paíse que hacen parte de este cuerpo élite. De acuerdo con las autoridades españolas, Parra Murcia es sindicado de la instalación de un laboratorio de estupefacientes en Ciudad Real. Allí ""se habría encargado de la fabricación y procesamiento de clorhidrato de cocaína mediante la adquisición de base de coca y productos químicos aliados para su elaboración"", se lee en el dossier. Por otra parte, Villafañe se habría encargado de la distribución y comercialización de la cocaína en la ciudad de Orcoyen, "" priorizando zonas de afluencia turística y de tolerancia para el tráfico del alcaloide "". Samuel Darío Bernal De hecho, en el documento se indica que en 2020 las autoridades españolas realizaron una operación en contra Villafañe, a quien le fue registrada una de sus viviendas en la Comunidad Baleares, España, ""logrando la incautación de cantidades considerables de estupefaciente cocaína, documentos y libros de contabilidad, donde registraba todos los movimientos delictivos de la comercialización, distribución del alucinógeno y el control financiero de las ventas realizadas"". En un trabajo coordinado entre las policías de España y Colombia detectaron que los dos hombres habrían retornado a Colombia, "" con el fin de evadir las autoridades europeas"". En Colombia, un grupo élite de la Policía Nacional inició la investigación con el fin de ubicarlos y tras varios meses de investigación los encontraron en Cartago y Buga, "" donde se dedicaban a actividades cotidianas para mantener un bajo perfil y eludir a las autoridades"". La ubicación de Parra y Villañafe se coordinó con la Unidad Central de Droga y Crimen Organizado de la Policía Nacional de España, ""en una muestra de las buenas relaciones en la lucha contra el narcotráfico entre las dos policías de los países mencionados"", aseguró el investigador frente al caso. Los connacionales están solicitados en extradición y ya las autoridades judiciales avanzan en ese proceso."
"Porque 'puede causar cáncer', Gobierno Petro prohibirá aspersiones con glifosato",https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/uso-del-glifosato-gobierno-de-petro-prohibira-aspersiones-en-colombia-717899,Conflicto y Narcotráfico,"16 de noviembre 2022, 12:00 A. M.","En un borrador de decreto del Ministerio de Justicia, revelado por el noticiero Noticentro 1 de CM&, el Gobierno Nacional plantea derogar el decreto de la administración Duque que le dio luz verde al cumplimiento de las exigencias de la Corte para volver a utilizar el glifosato en la lucha contra los cultivos ilícitos en Colombia. Entre las razones que ahora expone el decreto en borrador del Minjusticia se señala que ""la Corte Constitucional en sus providencias ha sido enfática en considerar que el uso del glifosato en aspersiones aéreas para la eliminación de los cultivos de uso ilícito puede causar cáncer u otras afectaciones a las células humanas, además de generar importantes impactos ambientales, y por tanto, resulta procedente la aplicación estricta del principio de precaución"". Además, menciona que dado que la posición del Gobierno ha cambiado frente a la aspersión aérea y ya se había decidido no hacer uso de este herbicida para la erradicación de cultivos ilícitos, el decreto 380 del 2021 perdió su objeto ""y, por tanto, debe procederse a su derogatoria"". ""La decisión de no hacer uso de este mecanismo de erradicación se fundamenta en la prevalencia de los derechos fundamentales y de los derechos humanos consagrados en el bloque de constitucionalidad"", añade. ELTIEMPO."
Estas son las dos redes de narcos que se disputan la cocaína en Putumayo,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/putumayo-disputa-entre-las-disidencias-por-el-control-de-la-cocaina-717519,Conflicto y Narcotráfico,"15 de noviembre 2022, 12:00 A. M.","En Putumayo, dos redes de las disidencias se disputan el control de los cultivos de matas de coca, la producción y comercialización de cocaína y la minería ilegal. Esas actividades delictivas dejan a la población civil en medio de las confrontaciones y las presiones de los armados para que tomen partido por un bando o para que se dediquen a los narcocultivos. Esa es una de las hipótesis que las autoridades plantean e investigan tras el asesinato del líder social Sócrates Sevillanos y de su esposa, Cielo Ruales, en zona rural de Orito. El doble homicidio fue rechazado por el gobierno a través del alto comisionado para la paz, Danilo Rueda, quien señaló: “nuestra solidaridad con su familia y comunidad. A los responsables les exigimos paren sus asesinatos, la vida es única, Colombia merece otro presente”. Todo indica que Sevillanos fue asesinado por las disidencias porque él venía apoyando programas rurales de cara a una futura sustitución voluntaria de narcocultivos. De hecho, el Sistema Integrado de Monitoreo de Cultivos Ilícitos, Simci, de Naciones Unidas, 2021, reportó que los tres departamentos más afectados con la siembra de matas de coca son: Nariño, Norte de Santander y Putumayo. En esa línea, el general Freddy Fernando Gómez Gamba, comandante de la brigada 27 del Ejército con jurisdicción en Putumayo, afirmó a EL TIEMPO que las operaciones contra las disidencias son constantes, ya que considera que son “ las responsables del 90 por ciento de los homicidios que se registran en el departamento por hechos conexos con el narcotráfico, el control territorial y la venta de la pasta base de coca”. De acuerdo con el oficial, en Putumayo se registra una confrontación armada entre las disidencias que se hacen llamar ‘ Comandos de la Frontera ’, al mando de ‘Andrés Araña’, red aliada a la ‘Segunda Marquetalia’ y las disidencias que se hacen llamar ‘ Carolina Ramírez ’, cuyo jefe es ‘Danilo Alvizú’, aliado de ‘Iván Mordisco’. El general Gómez señaló que estos dos grupos suman unos 600 integrantes, “y cada estructura cuenta con 10 comisiones o subestructuras que se han ubicado en la parte norte de Putumayo y zona sur, aprovechando las carreteras fluviales naturales de los ríos Caquetá y Putumayo”. El comandante de la Brigada señaló que inteligencia estableció que en el 2021 los dos grupos disidentes trataron de “aliarse”, pero la lucha por el control de la coca “no los dejo y eso llevó a incrementar su guerra territorial por controlar la zona centro del departamento”. De hecho, el oficial señaló que el problema del tráfico de cocaína se concentra en los dividendos económicos que logran estas redes de narcotraficantes y señaló que mientras en Putumayo un kilo de cocaína se consigue en 6 o 7 millones de pesos, “ese mismo kilo en Ecuador o Perú llega a los 10 mil dólares, en Estados Unidos a 32 mil dólares, en Europa a 60 mil dólares, en Eurasia a 100 mil dólares y en Australia llega a los 300 mil dólares”. La situación es compleja, reconoció el general Gómez, quien afirmó que son constantes las reuniones —virtuales— con sus homólogos de Ecuador y Perú, naciones con las que Colombia comparte frontera por Putumayo, “para analizar la situación sobre el narcotráfico en la región, ya que por ejemplo, se han ubicado laboratorios para el procesamiento del alcaloide en los países mencionados ”. En dichos encuentros las autoridades tratan de desarrollar estrategias —compartiendo información en tiempo real— para frenarle el paso a los delincuentes y prestar apoyo con base en la experiencia y las vivencias en Colombia y “ Ecuador, donde se vive una violencia nunca antes vista a causa del narcotráfico ”, puntualizó el general Gómez. De acuerdo con el oficial, la problemática que se registra en Putumayo no es de ahora, es un fenómeno que viene de 6 o 7 años atrás, al cual hoy se suma “la deforestación y la minería ilegal que afecta a la región”. El comandante de la brigada 27 señaló que hace poco se desarrolló una operación por parte de los uniformados para tratar de recuperar unas 30 hectáreas que perdieron unos 18 mil árboles, “ la deforestación es un tema que me preocupa mucho ”, reiteró. A esto se suma otro tema con referencia al medioambiente y son los estragos que causa la minería ilegal, por lo que reiteró el compromiso de sus tropas por trabajar “por los habitantes de Putumayo y la región”. En esa línea, el oficial señaló que este año han ubicado 12 laboratorios para el procesamiento de clorhidrato de cocaína y 527 para procesar la paste base de coca, a lo que se suma la incautación de tres toneladas de cocaína y una tonelada en proceso, así como gran cantidad de precursores químicos. De igual forma, indicó que han sostenido 12 combates, han dado captura a 65 disidentes, 67 narcotraficantes y han logrado el sometimiento de 7 disidentes. Finalmente, el general Gómez dijo que al estar las comunidades bajo presión de los ilegales son constantes “los bloqueos y asonadas” que enfrentan los uniformados, “no los dejan erradicar o adelantar labores de vigilancia, de todos lados nos quieren sacar”, puntualizó, al reiterar que su deber es garantizar la seguridad y vida de los habitantes de la región. Un alcalde, que pidió por seguridad no ser mencionado, dijo a este diario que el problema de Putumayo “ se concentra en la desatención del Estado y de los gobiernos que no han sabido aprovechar la riqueza natural de la región y que la han dejado en manos de la delincuencia ”. El mandatario local afirmó que los jóvenes que, por ejemplo, terminan la secundaria no tienen ninguna oportunidad en Putumayo de ingresar a la universidad o a realizar un estudio técnico agropecuario, “si la familia cuenta con recursos los envían a Bogotá u otras ciudades a estudiar, a los otros ¿qué les queda? Eso es lo que aprovechan los ilegales para reclutarlos”, aseguró."
¿A qué viene a Colombia la comandante del Comando Sur de EE. UU.?,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/general-richardson-comandante-del-comando-sur-de-ee-uu-visita-717336,Conflicto y Narcotráfico,"14 de noviembre 2022, 12:00 A. M.","En la mañana de este domingo, la embajada de Estados Unidos en Bogotá confirmó que llegó al país -en visita oficial- la general Laura Richardson comandante del Comando Sur de ese país, una de las bases militares más importantes de Norteamérica. De hecho, el Comando Sur es uno de los seis comandos unificados del Departamento de Defensa, con responsabilidad en la cooperación en materia de seguridad con las fuerzas de defensa y seguridad pública en el Caribe, América Central y América del Sur. La general Richardson, quien estará en Colombia hasta el 15 de noviembre, viajó para observar la misión médica Promesa Continua 2022 y visitar a la tripulación del buque hospital USNS Comfort en Cartagena. ""La oficial recorrerá el buque, visitará sitios médicos y se reunirá con representantes del Gobierno"", destaca la embajada en su comunicado. De acuerdo con la embajada de EE. UU., esta es la octava vez que este buque hospital de Estados Unidos visita la región desde 2007, ""periodo en el que se ha convertido en un símbolo de esperanza, solidaridad y unidad internacional"". En 15 años, el personal médico ha prestado atención a más de 582.000 personas y realizado más de 7.000 cirugías. A la vez, señala la embajada, han llevado a cabo más de 100 proyectos de ingeniería y han realizado cientos de intercambios de expertos en asistencia comunitaria. El general Helder Fernan Giraldo, comandante de las Fuerzas Militares - desde Cartagena - destacó el trabajo humanitario del buque Comfort al afirmar que esta es “ una muestra significativa del compromiso de Estados Unidos con nuestro país y con toda la región de Suramérica y Centroamérica para aportar decisivamente al bienestar de la población ”. El oficial destacó que el personal del buque ha atendido a más de 28.000 pacientes y ha practicado a bordo más de 1.200 cirugías, y aseguró que esto es una muestra tanto de la importancia de atender a las comunidades más vulnerables para contribuir en mejorar su calidad de vida como de las excelentes relaciones entre los dos países. Por su parte, Francisco Palmieri, embajador de Estados Unidos en Colombia, destacó la misión del buque que hace parte de la Marina de su país, porque “ va a mejorar la vida de miles de personas en Cartagena y en la costa norte del país”. El diplomático señaló que es la oportunidad para que se desarrollen ejercicios a fin “responder a los desastres naturales”, entre otras circunstancias. Sobre la visita de la general Richardson dijo que las unidades militares de su país trabajaron esta semana “en varios proyectos humanitarios que incluyen la remodelación de varias escuelas locales”. El embajador aseguró que desde 2007 el buque hospital ha atendido a más de 582.000 personas y realizado más de 7.000 cirugías y actividades comunitarias. “Los Estados Unidos estarán aquí siempre contribuyendo al bienestar de los colombianos”, afirmó Palmieri, quien añadió que es un orgullo que ""Colombia pertenezca a la Otán"". Además, indica la Embajada que en cada uno de los países que visita los equipos médicos del USNS Comfort trabajan junto al personal médico del país asociado. En Colombia prestarán atención quirúrgica a bordo del buque y proporcionarán atención médica y dental en los centros médicos de tierra. La tripulación multinacional de este año, compuesta por 1.000 militares y civiles, incluye representantes de organizaciones gubernamentales y no gubernamentales. El personal militar de los países asociados embarcado en el buque incluye a Brasil, Canadá, Chile, Colombia, Ecuador, República Dominicana, Honduras y los Países Bajos. Esta es la segunda visita de la general a Colombia en dos meses y durante estos tres días aprovechará para visitar unidades militares colombianas en Cartagena, básicamente de la Armada Nacional y en el centro del país para conocer mejor su contribución a la seguridad de Colombia y su apoyo a la cooperación regional en materia de seguridad."
"Con 14 víctimas, en octubre subió muerte de civiles por violencia del Eln: Cerac",https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/en-octubre-aumento-muerte-de-civiles-por-violencia-del-eln-cerac-716897,Conflicto y Narcotráfico,"11 de noviembre 2022, 08:55 A. M.","Aunque sigue siendo uno de los números más bajos de los último cinco años, este octubre, con 14 civiles muertos, se registró un aumento en el número de muertes de civiles en la violencia asociada directamente al Eln, de acuerdo con el Centro de Recursos para el Análisis de Conflictos.. Según la entidad, con el aumento de este octubre se rompió la tendencia de reducción sostenida que se registraba desde marzo de 2021.. Además, la última vez que Cerac habría registrado un aumento en el número anual de muertes de civiles fue en enero de 2021. Cerac también registró el mes pasado que 8.000 personas estuvieron confinadas en el corregimiento de Puerto López de El Bagre, Antioquia, entre el 6 y el 10 de octubre, por combates entre el Eln, una disidencia de las Farc y el 'clan del Golfo'.. De otra parte, personas que portaban brazaletes del Eln que secuestraron y asesinaron con arma de fuego a Fredy Mena Oregón, representante legal y vicepresidente del Consejo Comunitario La Playa, en zona rural de Lloró, Chocó, el 9 de octubre. Así mismo, un combate entre personas con brazaletes del Eln y la disidencia 'Jaime Martinez', en zona rural de Buenaventura, Valle del Cauca, el 20 de octubre, dejó un menor de edad muerto al quedar en medio del fuego cruzado. justicia@eltiempo."
Insólito: en sus extensiones de cabello mujeres camuflaron dos kilos de cocaína,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/cocaina-capturan-a-dos-mujeres-transportando-coca-en-sus-pelucas-716719,Conflicto y Narcotráfico,"11 de noviembre 2022, 12:00 A. M.","En la tarde de este jueves, el coronel Carlos Alberto Potes Gómez, jefe del área aeroportuaria de la Policía Antinarcóticos, confirmó que fueron capturadas dos mujeres que""en sus extensiones de cabello"" llevaban camuflada cocaína. Las mujeres fueron perfiladas en las terminales aéreas de Palmira y Rionegro. De acuerdo con el coronel Potes, esta es una modalidad de transporte del estupefaciente que se concentra en la utilización de dediles o pequeñas bolsas que se cargan con la cocaína y que se camuflan ""en extensiones de cabello, así los pasantes de droga intentan superar los controles de las autoridades para llevar la sustancia alcaloide a Europa"". Señala la Policía Antinarcóticos que la primera incautación se registró en el aeropuerto internacional Alfonso Bonilla Aragón, de Palmira, donde los expertos perfiladores de la Policía ubicaron a una mujer que estaba lista para abordar su vuelo con destino a Madrid, España. La señora, de 30 años, dejó ver su nerviosismo lo que llamó la atención de los uniformados, y ante algunas preguntas de los policías sus facciones cambiaron, por lo que la trasladaron hasta el _ Body Scan _ o sala de rayos equis y ""detectando en la cabellera postiza unos objetos irregulares en forma de tubos o bolsas, entonces voluntariamente la pasajera decide retirarse las extensiones "", aseguró Antinarcóticos. En las extensiones se ubicaron 900 gramos de cocaína, con el agravante que las imágenes mostraron que además "" en sus partes íntimas transporta en la modalidad de introducida otro paquete, que es entregado por ella misma "". En ese paquete la mujer llevaba otros 200 gramos de cocaína para un total de un kilo y 100 gramos de la droga. La otra captura se registró en similares circunstancias en el aeropuerto José María Córdoba de Rionegro, donde otra mujer llevaba en su peluca ""650 gramos de cocaína y en sus partes íntimas 200 gramos dentro de una bolsa tubular"", reportó la Policía. La mujer también tenía como destino Madrid, España Las mujeres quedaron a órdenes de la Fiscalía General que les imputará el delito de narcotráfico. De acuerdo con la Policía Antinarcóticos, en las dos operaciones, fueron incautados 1.950 gramos de cocaína. ""Queremos recordarle a los viajeros que no pongan en riesgo su vida ni su libertad haciendo parte de la cadena criminal del narcotráfico"", señaló el jefe del área aeroportuaria de Antinarcóticos."
Comisión Global de Política de Drogas respalda enfoque de Colombia,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/narcotrafico-lideres-mundiales-apoyan-cambio-de-enfoque-de-colombia-716617,Conflicto y Narcotráfico,[],
Fuerzas Militares denuncian que el Eln secuestró a dos militares en Arauca,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/eln-reconoce-que-secuestro-a-dos-militares-en-arauca-716532,Conflicto y Narcotráfico,"10 de noviembre 2022, 06:51 A. M.","A través de un comunicado las Fuerzas Militares confirmaron que la guerrilla del Eln secuestró a los soldados profesionales Luifer Mejia Beltrán y Fernando Urrego Rayo, ""quienes se desplazaban de civil y en estado de indefensión para disfrutar el plan de moral, descanso y bienestar con sus familias en sus ciudades de origen"". La institución castrense responsabilizó al frente de 'Guerra Occidental' del secuestro de los uniformados y los hace garantes de su integridad e integridad física. El comunicado fue dado a conocer por la Fuerza de Tarea Quirón, unidad adscrita a la Octava División del Ejército con jurisdicción en Arauca, y en el mismo se afirma que el secuestro será denunciado ""ante organismos nacionales e internacionales"". "" Este repudiable hecho es una violación a los derechos humanos e infracción a las disposiciones del derecho internacional humanitario y un grave delito catalogado como crimen de lesa humanidad"", asegura el Ejército. Los soldados profesionales fueron secuestrados el 2 y 3 de noviembre, en situaciones diferentes, pero cuando se desplazaban en buses de servicio interdepartamental, de civil, en inmediaciones del municipio de Tame. Paralelo al comunicado, el Eln emitió un comunicado en el que reconoce que tiene a los soldados profesionales y los califica como prisioneros de guerra. ""A los prisioneros se les está dando el trato de acuerdo a las condiciones de guerra que vivimos y en los próximos días serán dejados en libertad ante organismos de derechos humanos ”. De igual forma, advierte la guerrilla que “toda acción ofensiva de rescate pondría en riesgo la vida” de los soldados profesionales. En Arauca se registra una guerra territorial entre el Eln y las disidencias que mantiene en vilo a los habitantes de esta zona del país."
"Golpe al Eln: cae 'El Viejo', uno de los jefes del frente de 'Guerra Occidental'",https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/eln-capturan-a-jefe-politico-del-frente-de-guerra-occidental-716325,Conflicto y Narcotráfico,"09 de noviembre 2022, 07:59 P. M.","Este mediodía del miércoles, fuentes de la Policía Nacional le confirmaron a EL TIEMPO que que un comando élite logró ubicar y capturar a Carlos Alberto Ramírez, considerado uno de los integrantes más antiguos del Eln, ya que se estima que lleva 35 años de militancia en las filas guerrilleras. Es considerado el jefe político del frente de 'Guerra Occidental ' y tercero al mando de la estructura 'Manuel Hernández, El Boche'. _, La captura de Ramírez, más conocido con los alias del Viejo o 'Wilson', se registró en Medellín, y de acuerdo a uno de los investigadores por ""su formación política, armada y capacidad de movilización de masas, se convirtió en uno de los jefes más importantes para el frente de 'Guerra Occidental'"". Ese grupo, según informaciones oficiales, tendría mas de 500 integrantes y estaría asociado a atentados perpetrados en varias regiones del país. 'El Viejo', es señalado por las autoridades como el "" articulador de acciones terroristas de alto impacto contra la población civil, la Fuerza Pública y el sector económico en Chocó y Risaralda"", donde se ubican sus víctimas. De igual forma, se le acusa de actividades relacionadas con desplazamiento forzado, secuestro, extorsión, minería ilegal y narcotráfico en Bagadó, Lloró y Carmen de Atrato. De hecho, el investigador del caso le indicó a este diario que un grupo élite compuesto por Inteligencia y Judicial le venía siguiendo los pasos y lo capturaron en el terminal de transporte de Medellín, ""donde fue a recibir a su compañera sentimental que viajó para recibir una prótesis para una de sus piernas, ya que cayó en un campo minado instalado por el Eln"". En el momento de su captura, el jefe guerrillero no prestó resistencia y se encontraba sin su esquema de seguridad o su hombre de confianza, “al parecer para no llamar la atención”, dijo el investigador. En el dossier en contra del 'Viejo', se indica que es el ""responsable del financiamiento ilícito de la estructura guerrillera, a partir de la recepción de extorsiones a empresarios y transportadores del oriente Chocoano, generando rentas superiores a los 1.000 millones de pesos mensuales, al cual se le atribuye la quema de vehículos en la vía que comunica a la ciudad de Pereira con el municipio de Carmen de Atrato. De igual forma, se lo señala de ser el diinamizador de la cadena del narcotráfico en la región del Atrato en Chocó, "" generando alianzas con narcotraficantes para el tráfico de estupefacientes, a través de rutas establecidas por el Océano Pacífico hacia países de Centro y Norteamérica "", se lee en el documento en su contra. Para la Policía, la captura y judicialización del ‘Viejo’ se convierte en un golpe a la estructura guerrillera, que pierde a uno de sus mayores financiadores y al hombre que con su discurso “lograba reclutar o incorporar a los jóvenes en sus filas”. De hecho, las comunidades indígenas de Risaralda y Chocó son las más afectadas por el reclutamiento forzado de menores de edad por parte del Eln y del ‘clan del Golfo’, que, de acuerdo con el reporte de organismos humanitarios, ha llevado al desplazamiento de varias familias. A esto se suma que estas redes libran una guerra territorial por el control de las rentas ilegales lo que ha dejado a la población civil en medio de la sangienta confrontación armada. Esa violencia también ha llevado al confinamiento de varias comunidades."
